CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),OAK,"Oakland, CA",United States,MLM,"Morelia, Mexico",Mexico,True,16
Federal Express Corporation,OAK,"Oakland, CA",United States,IND,"Indianapolis, IN",United States,False,55
Avjet Corporation,OAK,"Oakland, CA",United States,HOU,"Houston, TX",United States,True,29
"Swift Air, LLC",OAK,"Oakland, CA",United States,YOW,"Ottawa, Canada",Canada,True,1
Federal Express Corporation,OAK,"Oakland, CA",United States,SLC,"Salt Lake City, UT",United States,False,110
"Jet Aviation Flight Services, Inc.",OAK,"Oakland, CA",United States,HHR,"Hawthorne, CA",United States,True,1
Southwest Airlines Co.,OAK,"Oakland, CA",United States,MCI,"Kansas City, MO",United States,True,22
Delta Air Lines Inc.,OAK,"Oakland, CA",United States,LGB,"Long Beach, CA",United States,True,36
Boutique Air,OAK,"Oakland, CA",United States,MCE,"Merced, CA",United States,True,12
British Airways Plc,OAK,"Oakland, CA",United States,LGW,"London, United Kingdom",United Kingdom,True,25
Southwest Airlines Co.,OAK,"Oakland, CA",United States,AMA,"Amarillo, TX",United States,True,1
United Parcel Service,OAK,"Oakland, CA",United States,SDF,"Louisville, KY",United States,False,48
"KaiserAir, Inc.",OAK,"Oakland, CA",United States,OGG,"Kahului, HI",United States,True,29
Air Alsie A/S,OAK,"Oakland, CA",United States,NCE,"Nice, France",France,True,1
Norwegian Air Shuttle ASA,OAK,"Oakland, CA",United States,ARN,"Stockholm, Sweden",Sweden,True,16
Federal Express Corporation,OAK,"Oakland, CA",United States,NRT,"Tokyo, Japan",Japan,False,12
