CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER
"KaiserAir, Inc.",LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Mesa Airlines Inc.,PHX,"Phoenix, AZ",United States,SJC,"San Jose, CA",United States,True
Horizon Air,MCI,"Kansas City, MO",United States,SJC,"San Jose, CA",United States,True
"ADVANCED AIR, LLC",SBA,"Santa Barbara, CA",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",YWG,"Winnipeg, Canada",Canada,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Horizon Air,ABQ,"Albuquerque, NM",United States,SJC,"San Jose, CA",United States,True
Alaska Airlines Inc.,PHX,"Phoenix, AZ",United States,SJC,"San Jose, CA",United States,True
Air Canada,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Miami Air International,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Air Canada,YYC,"Calgary, Canada",Canada,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,DEN,"Denver, CO",United States,SJC,"San Jose, CA",United States,True
Alaska Airlines Inc.,SEA,"Seattle, WA",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",DEN,"Denver, CO",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",MSP,"Minneapolis, MN",United States,SJC,"San Jose, CA",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",LAS,"Las Vegas, NV",United States,SJC,"San Jose, CA",United States,True
Horizon Air,SEA,"Seattle, WA",United States,SJC,"San Jose, CA",United States,True
Air Canada,YWG,"Winnipeg, Canada",Canada,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",DEN,"Denver, CO",United States,SJC,"San Jose, CA",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",OMA,"Omaha, NE",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",LGB,"Long Beach, CA",United States,SJC,"San Jose, CA",United States,True
Horizon Air,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Atlas Air Inc.,DAL,"Dallas, TX",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",YVR,"Vancouver, Canada",Canada,SJC,"San Jose, CA",United States,True
Miami Air International,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",LGB,"Long Beach, CA",United States,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,SNA,"Santa Ana, CA",United States,SJC,"San Jose, CA",United States,True
Jazz Aviation LP,YVR,"Vancouver, Canada",Canada,SJC,"San Jose, CA",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ORD,"Chicago, IL",United States,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,LGB,"Long Beach, CA",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,ONT,"Ontario, CA",United States,SJC,"San Jose, CA",United States,True
